"","Status.of.existing.checking.account","Duration.in.months","Credit.history","Purpose","Credit.amount","Savings.account.bonds","Present.employment.since","Installment.rate.in.percentage.of.disposable.income","Personal.status.and.sex","Other.debtors...guarantors","Present.residence.since","Property","Age.in.years","Other.installment.plans","Housing","Number.of.existing.credits.at.this.bank","Job","Number.of.people.being.liable.to.provide.maintenance.for","Telephone","Foreign.worker","Score"
"858","No checking account",15,"critical account/ other credits existing (not at this bank)","furniture/equipment",3343,"less than 100","1 to 4 years",4,"male (single)","none",2,"unknown / no property",28,"none","for free",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
"859","Negative",15,"existing credits paid back duly till now","car (new)",3959,"less than 100","1 to 4 years",3,"female (divorced/separated/married)","none",2,"building society savings agreement/ life insurance",29,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","bad"
"860","No checking account",9,"existing credits paid back duly till now","car (new)",3577,"100 to 500","1 to 4 years",1,"male (single)","guarantor",2,"real estate",26,"none","rent",1,"skilled employee / official",2,"none","No","good"
"861","No checking account",24,"critical account/ other credits existing (not at this bank)","car (used)",5804,"more than 1000","1 to 4 years",4,"male (single)","none",2,"real estate",27,"none","own",2,"skilled employee / official",1,"none","Yes","good"
"862","No checking account",18,"delay in paying off in the past","business",2169,"less than 100","1 to 4 years",4,"male (married/widowed)","none",2,"car or other",28,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","bad"
"863","Negative",24,"existing credits paid back duly till now","radio/television",2439,"less than 100","less than 1 year",4,"female (divorced/separated/married)","none",4,"real estate",35,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","bad"
"864","No checking account",27,"critical account/ other credits existing (not at this bank)","furniture/equipment",4526,"more than 1000","less than 1 year",4,"male (single)","none",2,"real estate",32,"stores","own",2,"unskilled - resident",2,"yes, registered under the customers name","Yes","good"
"865","No checking account",10,"existing credits paid back duly till now","furniture/equipment",2210,"less than 100","1 to 4 years",2,"male (single)","none",2,"real estate",25,"bank","rent",1,"unskilled - resident",1,"none","Yes","bad"
"866","No checking account",15,"existing credits paid back duly till now","furniture/equipment",2221,"500 to 1000","1 to 4 years",2,"female (divorced/separated/married)","none",4,"car or other",20,"none","rent",1,"skilled employee / official",1,"none","Yes","good"
"867","Negative",18,"existing credits paid back duly till now","radio/television",2389,"less than 100","less than 1 year",4,"female (divorced/separated/married)","none",1,"car or other",27,"stores","own",1,"skilled employee / official",1,"none","Yes","good"
"868","No checking account",12,"critical account/ other credits existing (not at this bank)","furniture/equipment",3331,"less than 100","more than 7 years",2,"male (single)","none",4,"building society savings agreement/ life insurance",42,"stores","own",1,"skilled employee / official",1,"none","Yes","good"
"869","No checking account",36,"existing credits paid back duly till now","business",7409,"unknown / no savings account","more than 7 years",3,"male (single)","none",2,"building society savings agreement/ life insurance",37,"none","own",2,"skilled employee / official",1,"none","Yes","good"
"870","Negative",12,"existing credits paid back duly till now","furniture/equipment",652,"less than 100","more than 7 years",4,"female (divorced/separated/married)","none",4,"building society savings agreement/ life insurance",24,"none","rent",1,"skilled employee / official",1,"none","Yes","good"
"871","No checking account",36,"delay in paying off in the past","furniture/equipment",7678,"500 to 1000","4 to 7 years",2,"female (divorced/separated/married)","none",4,"car or other",40,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
"872","Over 200",6,"critical account/ other credits existing (not at this bank)","car (new)",1343,"less than 100","more than 7 years",1,"male (single)","none",4,"real estate",46,"none","own",2,"skilled employee / official",2,"none","No","good"
"873","Negative",24,"critical account/ other credits existing (not at this bank)","business",1382,"100 to 500","4 to 7 years",4,"male (single)","none",1,"real estate",26,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
"874","No checking account",15,"existing credits paid back duly till now","domestic appliances",874,"unknown / no savings account","less than 1 year",4,"female (divorced/separated/married)","none",1,"real estate",24,"none","own",1,"skilled employee / official",1,"none","Yes","good"
"875","Negative",12,"existing credits paid back duly till now","furniture/equipment",3590,"less than 100","1 to 4 years",2,"male (single)","co-Applicant",2,"building society savings agreement/ life insurance",29,"none","own",1,"unskilled - resident",2,"none","Yes","good"
"876","0 - 200",11,"critical account/ other credits existing (not at this bank)","car (new)",1322,"more than 1000","1 to 4 years",4,"female (divorced/separated/married)","none",4,"car or other",40,"none","own",2,"skilled employee / official",1,"none","Yes","good"
"877","Negative",18,"all credits at this bank paid back duly","radio/television",1940,"less than 100","less than 1 year",3,"male (single)","co-Applicant",4,"unknown / no property",36,"bank","for free",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","good"
"878","No checking account",36,"existing credits paid back duly till now","radio/television",3595,"less than 100","more than 7 years",4,"male (single)","none",2,"car or other",28,"none","own",1,"skilled employee / official",1,"none","Yes","good"
"879","Negative",9,"existing credits paid back duly till now","car (new)",1422,"less than 100","less than 1 year",3,"male (single)","none",2,"unknown / no property",27,"none","for free",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","bad"
"880","No checking account",30,"critical account/ other credits existing (not at this bank)","radio/television",6742,"unknown / no savings account","4 to 7 years",2,"male (single)","none",3,"building society savings agreement/ life insurance",36,"none","own",2,"skilled employee / official",1,"none","Yes","good"
"881","No checking account",24,"existing credits paid back duly till now","car (used)",7814,"less than 100","4 to 7 years",3,"male (single)","none",3,"car or other",38,"none","own",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","good"
"882","No checking account",24,"existing credits paid back duly till now","car (used)",9277,"unknown / no savings account","1 to 4 years",2,"male (divorced/separated)","none",4,"unknown / no property",48,"none","for free",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
"883","0 - 200",30,"critical account/ other credits existing (not at this bank)","car (new)",2181,"unknown / no savings account","more than 7 years",4,"male (single)","none",4,"real estate",36,"none","own",2,"skilled employee / official",1,"none","Yes","good"
"884","No checking account",18,"critical account/ other credits existing (not at this bank)","radio/television",1098,"less than 100","Unemployed",4,"female (divorced/separated/married)","none",4,"car or other",65,"none","own",2,"unemployed / unskilled - non-resident",1,"none","Yes","good"
"885","0 - 200",24,"existing credits paid back duly till now","furniture/equipment",4057,"less than 100","4 to 7 years",3,"male (divorced/separated)","none",3,"car or other",43,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","bad"
"886","Negative",12,"existing credits paid back duly till now","education",795,"less than 100","less than 1 year",4,"female (divorced/separated/married)","none",4,"building society savings agreement/ life insurance",53,"none","own",1,"skilled employee / official",1,"none","Yes","bad"
"887","0 - 200",24,"critical account/ other credits existing (not at this bank)","business",2825,"unknown / no savings account","4 to 7 years",4,"male (single)","none",3,"unknown / no property",34,"none","own",2,"skilled employee / official",2,"yes, registered under the customers name","Yes","good"
"888","0 - 200",48,"existing credits paid back duly till now","business",15672,"less than 100","1 to 4 years",2,"male (single)","none",2,"car or other",23,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","bad"
"889","No checking account",36,"critical account/ other credits existing (not at this bank)","car (new)",6614,"less than 100","more than 7 years",4,"male (single)","none",4,"car or other",34,"none","own",2,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","good"
"890","No checking account",28,"all credits at this bank paid back duly","car (used)",7824,"unknown / no savings account","less than 1 year",3,"male (single)","guarantor",4,"real estate",40,"bank","rent",2,"skilled employee / official",2,"yes, registered under the customers name","Yes","good"
